date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:22	36898/36898	---M--	200	added ('OK')	text/html	etag:%228040fed-9022-0%22	http://cablegate.wikileaks.org/cable/2009/07/09ABUDHABI754.html	cablegate.wikileaks.org/cable/2009/07/09ABUDHABI754.html	(from http://cablegate.wikileaks.org/)
15:47:22	42020/42020	---M--	200	added ('OK')	text/html	etag:%228040ff3-a424-0%22	http://cablegate.wikileaks.org/cable/2009/07/09TEGUCIGALPA645.html	cablegate.wikileaks.org/cable/2009/07/09TEGUCIGALPA645.html	(from http://cablegate.wikileaks.org/)
15:47:23	31735/31735	---M--	200	added ('OK')	text/html	etag:%228040ff0-7bf7-0%22	http://cablegate.wikileaks.org/cable/2009/07/09MANAMA442.html	cablegate.wikileaks.org/cable/2009/07/09MANAMA442.html	(from http://cablegate.wikileaks.org/)
15:47:23	44447/44447	---M--	200	added ('OK')	text/html	etag:%228040ff4-ad9f-0%22	http://cablegate.wikileaks.org/cable/2009/07/09TELAVIV1688.html	cablegate.wikileaks.org/cable/2009/07/09TELAVIV1688.html	(from http://cablegate.wikileaks.org/)
15:47:23	25316/25316	---M--	200	added ('OK')	text/html	etag:%228040ff1-62e4-0%22	http://cablegate.wikileaks.org/cable/2009/07/09PARIS1046.html	cablegate.wikileaks.org/cable/2009/07/09PARIS1046.html	(from http://cablegate.wikileaks.org/)
15:47:24	92295/92295	---M--	200	added ('OK')	text/html	etag:%228040ff2-16887-0%22	http://cablegate.wikileaks.org/cable/2009/07/09STATE80163.html	cablegate.wikileaks.org/cable/2009/07/09STATE80163.html	(from http://cablegate.wikileaks.org/)
15:47:24	31369/31369	---M--	200	added ('OK')	text/html	etag:%22c060420-7a89-0%22	http://cablegate.wikileaks.org/cable/2009/08/09KUWAIT760.html	cablegate.wikileaks.org/cable/2009/08/09KUWAIT760.html	(from http://cablegate.wikileaks.org/)
15:47:24	34255/34255	---M--	200	added ('OK')	text/html	etag:%22c060423-85cf-0%22	http://cablegate.wikileaks.org/cable/2009/08/09RPODUBAI316.html	cablegate.wikileaks.org/cable/2009/08/09RPODUBAI316.html	(from http://cablegate.wikileaks.org/)
15:47:24	33146/33146	---M--	200	added ('OK')	text/html	etag:%22c003cf8-817a-0%22	http://cablegate.wikileaks.org/cable/2009/08/09DOHA502.html	cablegate.wikileaks.org/cable/2009/08/09DOHA502.html	(from http://cablegate.wikileaks.org/)
15:47:24	40142/40142	---M--	200	added ('OK')	text/html	etag:%22c060421-9cce-0%22	http://cablegate.wikileaks.org/cable/2009/08/09PARIS1097.html	cablegate.wikileaks.org/cable/2009/08/09PARIS1097.html	(from http://cablegate.wikileaks.org/)
15:47:24	30273/30273	---M--	200	added ('OK')	text/html	etag:%22c003d36-7641-0%22	http://cablegate.wikileaks.org/cable/2009/08/09BEIJING2438.html	cablegate.wikileaks.org/cable/2009/08/09BEIJING2438.html	(from http://cablegate.wikileaks.org/)
15:47:25	28355/28355	---M--	200	added ('OK')	text/html	etag:%22c060426-6ec3-0%22	http://cablegate.wikileaks.org/cable/2009/08/09ISTANBUL336.html	cablegate.wikileaks.org/cable/2009/08/09ISTANBUL336.html	(from http://cablegate.wikileaks.org/)
15:47:25	31926/31926	---M--	200	added ('OK')	text/html	etag:%22c060422-7cb6-0%22	http://cablegate.wikileaks.org/cable/2009/08/09RIYADH1121.html	cablegate.wikileaks.org/cable/2009/08/09RIYADH1121.html	(from http://cablegate.wikileaks.org/)
15:47:25	31384/31384	---M--	200	added ('OK')	text/html	etag:%22c003d4d-7a98-0%22	http://cablegate.wikileaks.org/cable/2009/08/09ABUDHABI862.html	cablegate.wikileaks.org/cable/2009/08/09ABUDHABI862.html	(from http://cablegate.wikileaks.org/)
